gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
SOD2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.976470588235294,7.822222222222223,0.15424836601307135,0.5365353713657448,0.6271507443581218,unchanged,,,Antioxidant defense,Manganese,Mn superoxide dismutase,0.002456544166201204
TPH1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.6588235294117646,1.8444444444444446,-0.18562091503267997,0.4767398520529257,-0.7352952576953239,unchanged,,,Tryptophan metabolism,"Iron (non-heme), BH4 (tetrahydrobiopterin)",Trp → 5-HTP (serotonin pathway),0.002456544166201204
TPSAB1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.8705882352941177,-0.1444444444444445,2.015032679738562,0.0675076454096114,2.013062847322634,up,,,Mast cell/allergy,Zinc (structural),Tryptase alpha/beta 1,0.002456544166201204
TRPM6,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.052941176470589,3.1333333333333337,0.9196078431372552,0.0021952096804351185,3.6419426982754417,up,,,Nutrient transporters,Magnesium,Epithelial Mg2+ channel,0.002456544166201204
TRPM7,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.917647058823529,6.944444444444445,-0.026797385620915826,0.6905071257206968,-0.406127258025326,unchanged,,,Nutrient transporters,Magnesium,Ubiquitous Mg2+/Ca2+ channel-kinase,0.09083199474923173
TSLP,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,0.11176470588235293,0.7222222222222222,-0.6104575163398693,0.0850342078503446,-1.831885439575568,down,,,Alarmin/ILC2,None,Thymic stromal lymphopoietin,0.09083199474923173
TXN,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.329411764705882,7.111111111111111,0.21830065359477135,0.27621596380183117,1.136247513229285,unchanged,,,Antioxidant defense,Zinc (structural),Thioredoxin,0.27429213254376256
TXNRD1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.711764705882352,7.7333333333333325,-0.021568627450980316,0.855463783431907,-0.18504390056466746,unchanged,,,Antioxidant defense,"Selenium (selenocysteine), FAD (Vitamin B2)",Thioredoxin reductase 1,0.27429213254376256
VDR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,3.6941176470588233,3.533333333333333,0.16078431372549007,0.27429213254376256,1.1340861924767152,unchanged,,,Vitamin D,"Vitamin D3, Zinc (zinc finger)",Vitamin D receptor / transcription factor,0.27429213254376256
AHCY,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.511442112001308,7.351504493612893,-0.8400623816115846,9.255834876073129e-12,-9.869069508864678,down,,,Methylation,NAD+,SAH → homocysteine,0.0
